Localizzazionedellincidente,Territorio,Anno,Totale,Popolazione
autostrada,Torino,2013,835,870702
strada urbana,Bari,2004,7918,314166
strada urbana,Bari,2005,8021,321312
strada urbana,Bari,2006,8355,326915
strada urbana,Bari,2007,7696,325983
strada urbana,Bari,2008,8273,325983
strada urbana,Bari,2009,8450,321771
strada urbana,Bari,2010,6616,320413
strada urbana,Bari,2011,6130,320312
strada urbana,Bari,2012,10940,319915
strada urbana,Bari,2013,5245,314311
strada urbana,Firenze,2004,12214,367259
strada urbana,Firenze,2005,11479,367659
strada urbana,Firenze,2006,11009,366901
strada urbana,Firenze,2007,10876,366433
strada urbana,Firenze,2008,9122,366433
strada urbana,Firenze,2009,8776,365873
strada urbana,Firenze,2010,9013,367280
strada urbana,Firenze,2011,8880,370091
strada urbana,Firenze,2012,16226,372075
strada urbana,Firenze,2013,7792,361679
strada urbana,Milano,2004,47909,1271898
strada urbana,Milano,2005,45621,1285669
strada urbana,Milano,2006,44971,1308735
strada urbana,Milano,2007,43176,1306086
strada urbana,Milano,2008,39161,1306086
strada urbana,Milano,2009,36376,1296958
strada urbana,Milano,2010,29573,1301600
strada urbana,Milano,2011,27951,1315802
strada urbana,Milano,2012,52484,1333670
strada urbana,Milano,2013,23451,1251137
strada urbana,Napoli,2004,7631,1000449
strada urbana,Napoli,2005,8841,997810
strada urbana,Napoli,2006,8166,984242
strada urbana,Napoli,2007,8789,979690
strada urbana,Napoli,2008,8794,979690
strada urbana,Napoli,2009,9096,968484
strada urbana,Napoli,2010,8431,963300
strada urbana,Napoli,2011,8104,961257
strada urbana,Napoli,2012,14942,958156
strada urbana,Napoli,2013,6719,960079
strada urbana,Palermo,2004,5451,679730
strada urbana,Palermo,2005,5491,677504
strada urbana,Palermo,2006,5527,670820
strada urbana,Palermo,2007,5538,668686
strada urbana,Palermo,2008,5462,668686
strada urbana,Palermo,2009,5306,661752
strada urbana,Palermo,2010,5204,657757
strada urbana,Palermo,2011,5208,655979
strada urbana,Palermo,2012,10084,654998
strada urbana,Palermo,2013,5080,655908
strada urbana,Roma,2004,46092,2542003
strada urbana,Roma,2005,45145,2547938
strada urbana,Roma,2006,42359,2547677
strada urbana,Roma,2007,40679,2626640
strada urbana,Roma,2008,36105,2626640
strada urbana,Roma,2009,36174,2710932
strada urbana,Roma,2010,36522,2734071
strada urbana,Roma,2011,35678,2752636
strada urbana,Roma,2012,61086,2771584
strada urbana,Roma,2013,28454,2626553
strada urbana,Torino,2004,12299,867857
strada urbana,Torino,2005,12258,885056
strada urbana,Torino,2006,12573,900608
strada urbana,Torino,2007,12769,900588
strada urbana,Torino,2008,11235,900588
strada urbana,Torino,2009,10499,910283
strada urbana,Torino,2010,10554,909181
strada urbana,Torino,2011,10495,908550
strada urbana,Torino,2012,19096,906671
strada urbana,Torino,2013,9003,870702
