TIME,GEO,Value,Popolazione
2009,Finland,279,5338871
2010,Finland,272,5363352
2011,Finland,292,5388272
2012,Finland,255,5413971
2013,Finland,258,5438972
2004,France,5530,62532556
2005,France,5318,63001253
2006,France,4709,63437350
2007,France,4620,63826129
2008,France,4275,64178710
2009,France,4273,64504541
2010,France,3992,64818789
2011,France,3963,65127852
2012,France,3653,65418852
2013,France,:,65698150
2004,Germany(until 1990 former territory of the FRG),5842,82516260
2005,Germany(until 1990 former territory of the FRG),5361,82469422
2006,Germany(until 1990 former territory of the FRG),5091,82376451
2007,Germany(until 1990 former territory of the FRG),4949,82266372
2008,Germany(until 1990 former territory of the FRG),4477,82110097
2009,Germany(until 1990 former territory of the FRG),4152,81902307
2010,Germany(until 1990 former territory of the FRG),3648,81776930
2011,Germany(until 1990 former territory of the FRG),4009,81797673
2012,Germany(until 1990 former territory of the FRG),3600,80425823
2013,Germany(until 1990 former territory of the FRG),3339,80645605
2004,Greece,1670,11055729
2005,Greece,1658,11092913
2006,Greece,1657,11127947
2007,Greece,1612,11163002
2008,Greece,1553,11186439
2009,Greece,1456,11187085
2010,Greece,1258,11153454
2011,Greece,1141,11102979
2012,Greece,988,11036983
2013,Greece,:,10959104
2004,Hungary,1296,10107146
2005,Hungary,1278,10087065
2006,Hungary,1303,10071370
2007,Hungary,1232,10055780
2008,Hungary,996,10038188
2009,Hungary,822,10022650
2010,Hungary,740,10000023
2011,Hungary,638,9971727
2012,Hungary,605,9920362
2013,Hungary,591,9893082
2004,Iceland,23,292074
2005,Iceland,19,296734
2006,Iceland,31,303782
2007,Iceland,15,311566
2008,Iceland,12,317414
2009,Iceland,17,318499
2010,Iceland,8,318041
2011,Iceland,12,319014
2012,Iceland,9,320716
2013,Iceland,15,323764
2004,Ireland,377,4070262
2005,Ireland,400,4159914
2006,Ireland,365,4273591
2007,Ireland,338,4398942
2008,Ireland,280,4489544
2009,Ireland,238,4535375
2010,Ireland,212,4560155
2011,Ireland,186,4576794
2012,Ireland,162,4586897
2013,Ireland,:,4598294
2004,Italy,6122,57685327
2005,Italy,5818,57969484
2006,Italy,5669,58143979
2007,Italy,5131,58438310
2008,Italy,4725,58826731
2009,Italy,4237,59095365
2010,Italy,4114,59277417
2011,Italy,3860,59379449
2012,Italy,3753,59539717
2013,Italy,3385,60233948
2004,Latvia,516,2263122
2005,Latvia,442,2238799
2006,Latvia,407,2218357
2007,Latvia,419,2200325
2008,Latvia,316,2177322
2009,Latvia,254,2141669
2010,Latvia,218,2097555
2011,Latvia,179,2059709
2012,Latvia,177,2034319
2013,Latvia,179,2012647
2004,Liechtenstein,1,34447
2005,Liechtenstein,2,34753
2006,Liechtenstein,0,35037
2007,Liechtenstein,1,35262
2008,Liechtenstein,1,35473
2009,Liechtenstein,1,35742
2010,Liechtenstein,:,36022
2011,Liechtenstein,:,36312
2012,Liechtenstein,:,36657
2013,Liechtenstein,:,36984
2004,Luxembourg,50,458095
2005,Luxembourg,47,465158
2006,Luxembourg,43,472637
2007,Luxembourg,46,479993
2008,Luxembourg,35,488650
2009,Luxembourg,48,497783
2010,Luxembourg,32,506953
2011,Luxembourg,33,518347
2012,Luxembourg,34,530946
2013,Luxembourg,45,543360
2004,Malta,13,401268
2005,Malta,17,403834
2006,Malta,11,405308
2007,Malta,12,406724
2008,Malta,9,409379
2009,Malta,15,412477
2010,Malta,13,414508
2011,Malta,:,416268
2012,Malta,:,419455
2013,Malta,:,423374
2004,Netherlands,804,16281779
2005,Netherlands,750,16319868
2006,Netherlands,730,16346101
2007,Netherlands,709,16381696
2008,Netherlands,677,16445593
2009,Netherlands,644,16530388
2010,Netherlands,537,16615394
2011,Netherlands,546,16693074
2012,Netherlands,562,16754962
2013,Netherlands,476,16804432
2004,Norway,257,4591910
2005,Norway,224,4623291
2006,Norway,242,4660677
2007,Norway,233,4709153
2008,Norway,255,4768212
2009,Norway,212,4828726
2010,Norway,208,4889252
2011,Norway,168,4953088
2012,Norway,145,5018573
2013,Norway,187,5079623
2004,Poland,5712,38182222
2005,Poland,5444,38165445
2006,Poland,5243,38141267
2007,Poland,5583,38120560
2008,Poland,5437,38125759
2009,Poland,4572,38151603
2010,Poland,3908,38042794
2011,Poland,4189,38063255
2012,Poland,3571,38063164
2013,Poland,:,38040196
2004,Portugal,1294,10483861
2005,Portugal,1247,10503330
2006,Portugal,969,10522288
2007,Portugal,974,10542964
2008,Portugal,885,10558177
2009,Portugal,840,10568247
2010,Portugal,937,10573100
2011,Portugal,891,10557560
2012,Portugal,718,10514844
2013,Portugal,637,10457295
2004,Romania,2442,21451748
2005,Romania,2629,21319685
2006,Romania,2587,21193760
2007,Romania,2800,20882982
2008,Romania,3065,20537875
2009,Romania,2796,20367487
2010,Romania,2377,20246871
2011,Romania,2018,20147528
2012,Romania,2042,20058035
2013,Romania,1861,19983693
2004,Slovakia,603,5372280
2005,Slovakia,606,5372807
2006,Slovakia,614,5373054
2007,Slovakia,661,5374622
2008,Slovakia,606,5379233
2009,Slovakia,384,5386406
2010,Slovakia,371,5391428
2011,Slovakia,:,5398384
2012,Slovakia,:,5407579
2013,Slovakia,:,5413393
2004,Slovenia,274,1997012
2005,Slovenia,258,2000474
2006,Slovenia,262,2006868
2007,Slovenia,293,2018122
2008,Slovenia,214,2021316
2009,Slovenia,171,2039669
2010,Slovenia,138,2048583
2011,Slovenia,141,2052843
2012,Slovenia,130,2057159
2013,Slovenia,:,2059953
2004,Spain,4741,42921895
2005,Spain,4442,43653155
2006,Spain,4104,44397319
2007,Spain,3822,45226803
2008,Spain,3098,45954106
2009,Spain,2714,46362946
2010,Spain,2479,46576897
2011,Spain,2060,46742697
2012,Spain,1902,46773055
2013,Spain,1680,46620045
2004,Sweden,480,8993531
2005,Sweden,440,9029572
2006,Sweden,445,9080505
2007,Sweden,471,9148092
2008,Sweden,397,9219637
2009,Sweden,358,9298515
2010,Sweden,266,9378126
2011,Sweden,:,9449213
2012,Sweden,:,9519374
2013,Sweden,260,9600379
2004,Switzerland,510,7389625
2005,Switzerland,409,7437115
2006,Switzerland,370,7483934
2007,Switzerland,384,7551117
2008,Switzerland,357,7647675
2009,Switzerland,349,7743831
2010,Switzerland,327,7824909
2011,Switzerland,320,7912398
2012,Switzerland,339,7996861
2013,Switzerland,269,8089346
2004,United Kingdom,3368,59987905
2005,United Kingdom,3336,60401206
2006,United Kingdom,3298,60846820
2007,United Kingdom,3059,61322463
2008,United Kingdom,2645,61806995
2009,United Kingdom,2337,62276270
2010,United Kingdom,1905,62766365
2011,United Kingdom,1960,63258918
2012,United Kingdom,1802,63700300
2013,United Kingdom,1770,64128226
