Classedieta,Territorio,Anno,Totale,Popolazione
18-20 anni,Milano,2006,8,1308735
18-20 anni,Milano,2007,11,1306086
18-20 anni,Milano,2008,9,1306086
18-20 anni,Milano,2009,4,1296958
18-20 anni,Milano,2010,7,1301600
18-20 anni,Milano,2011,2,1315802
18-20 anni,Milano,2012,8,1333670
18-20 anni,Milano,2013,4,1251137
18-20 anni,Napoli,2004,14,1000449
18-20 anni,Napoli,2005,11,997810
18-20 anni,Napoli,2006,10,984242
18-20 anni,Napoli,2007,9,979690
18-20 anni,Napoli,2008,9,979690
18-20 anni,Napoli,2009,13,968484
18-20 anni,Napoli,2010,10,963300
18-20 anni,Napoli,2011,12,961257
18-20 anni,Napoli,2012,16,958156
18-20 anni,Napoli,2013,13,960079
18-20 anni,Palermo,2004,5,679730
18-20 anni,Palermo,2005,7,677504
18-20 anni,Palermo,2006,10,670820
18-20 anni,Palermo,2007,3,668686
18-20 anni,Palermo,2008,14,668686
18-20 anni,Palermo,2009,8,661752
18-20 anni,Palermo,2010,7,657757
18-20 anni,Palermo,2011,7,655979
18-20 anni,Palermo,2012,6,654998
18-20 anni,Palermo,2013,5,655908
18-20 anni,Roma,2004,27,2542003
18-20 anni,Roma,2005,22,2547938
18-20 anni,Roma,2006,18,2547677
18-20 anni,Roma,2007,26,2626640
18-20 anni,Roma,2008,13,2626640
18-20 anni,Roma,2009,19,2710932
18-20 anni,Roma,2010,19,2734071
18-20 anni,Roma,2011,14,2752636
18-20 anni,Roma,2012,14,2771584
18-20 anni,Roma,2013,8,2626553
18-20 anni,Torino,2004,8,867857
18-20 anni,Torino,2005,6,885056
18-20 anni,Torino,2006,10,900608
18-20 anni,Torino,2007,4,900588
18-20 anni,Torino,2008,9,900588
18-20 anni,Torino,2009,6,910283
18-20 anni,Torino,2010,8,909181
18-20 anni,Torino,2011,7,908550
18-20 anni,Torino,2012,8,906671
18-20 anni,Torino,2013,3,870702
21-24 anni,Bari,2004,25,314166
21-24 anni,Bari,2005,17,321312
21-24 anni,Bari,2006,26,326915
21-24 anni,Bari,2007,7,325983
21-24 anni,Bari,2008,7,325983
21-24 anni,Bari,2009,8,321771
21-24 anni,Bari,2010,6,320413
21-24 anni,Bari,2011,7,320312
21-24 anni,Bari,2012,8,319915
21-24 anni,Bari,2013,6,314311
21-24 anni,Firenze,2004,13,367259
21-24 anni,Firenze,2005,3,367659
21-24 anni,Firenze,2006,5,366901
21-24 anni,Firenze,2007,4,366433
21-24 anni,Firenze,2008,5,366433
21-24 anni,Firenze,2009,4,365873
21-24 anni,Firenze,2010,7,367280
21-24 anni,Firenze,2011,1,370091
21-24 anni,Firenze,2012,6,372075
21-24 anni,Firenze,2013,1,361679
21-24 anni,Milano,2004,28,1271898
21-24 anni,Milano,2005,23,1285669
21-24 anni,Milano,2006,17,1308735
21-24 anni,Milano,2007,18,1306086
21-24 anni,Milano,2008,15,1306086
21-24 anni,Milano,2009,10,1296958
21-24 anni,Milano,2010,10,1301600
21-24 anni,Milano,2011,11,1315802
21-24 anni,Milano,2012,22,1333670
21-24 anni,Milano,2013,3,1251137
21-24 anni,Napoli,2004,17,1000449
21-24 anni,Napoli,2005,22,997810
21-24 anni,Napoli,2006,16,984242
21-24 anni,Napoli,2007,10,979690
21-24 anni,Napoli,2008,16,979690
21-24 anni,Napoli,2009,17,968484
21-24 anni,Napoli,2010,11,963300
21-24 anni,Napoli,2011,9,961257
21-24 anni,Napoli,2012,6,958156
21-24 anni,Napoli,2013,11,960079
21-24 anni,Palermo,2004,15,679730
21-24 anni,Palermo,2005,7,677504
21-24 anni,Palermo,2006,6,670820
21-24 anni,Palermo,2007,7,668686
21-24 anni,Palermo,2008,6,668686
21-24 anni,Palermo,2009,8,661752
21-24 anni,Palermo,2010,6,657757
21-24 anni,Palermo,2011,6,655979
21-24 anni,Palermo,2012,6,654998
21-24 anni,Palermo,2013,2,655908
21-24 anni,Roma,2004,43,2542003
21-24 anni,Roma,2005,39,2547938
21-24 anni,Roma,2006,34,2547677
21-24 anni,Roma,2007,40,2626640
21-24 anni,Roma,2008,26,2626640
21-24 anni,Roma,2009,33,2710932
21-24 anni,Roma,2010,22,2734071
21-24 anni,Roma,2011,22,2752636
21-24 anni,Roma,2012,50,2771584
21-24 anni,Roma,2013,20,2626553
21-24 anni,Torino,2004,14,867857
21-24 anni,Torino,2005,13,885056
21-24 anni,Torino,2006,15,900608
21-24 anni,Torino,2007,11,900588
21-24 anni,Torino,2008,4,900588
21-24 anni,Torino,2009,9,910283
21-24 anni,Torino,2010,9,909181
21-24 anni,Torino,2011,6,908550
21-24 anni,Torino,2012,10,906671
21-24 anni,Torino,2013,12,870702
25-29 anni,Bari,2004,20,314166
25-29 anni,Bari,2005,19,321312
25-29 anni,Bari,2006,13,326915
25-29 anni,Bari,2007,7,325983
25-29 anni,Bari,2008,14,325983
25-29 anni,Bari,2009,15,321771
25-29 anni,Bari,2010,6,320413
25-29 anni,Bari,2011,9,320312
25-29 anni,Bari,2012,10,319915
25-29 anni,Bari,2013,6,314311
25-29 anni,Firenze,2004,10,367259
25-29 anni,Firenze,2005,14,367659
25-29 anni,Firenze,2006,11,366901
25-29 anni,Firenze,2007,7,366433
25-29 anni,Firenze,2008,9,366433
25-29 anni,Firenze,2009,3,365873
25-29 anni,Firenze,2010,9,367280
25-29 anni,Firenze,2011,2,370091
25-29 anni,Firenze,2013,5,361679
25-29 anni,Milano,2004,27,1271898
25-29 anni,Milano,2005,26,1285669
25-29 anni,Milano,2006,25,1308735
25-29 anni,Milano,2007,25,1306086
25-29 anni,Milano,2008,16,1306086
25-29 anni,Milano,2009,11,1296958
25-29 anni,Milano,2010,12,1301600
25-29 anni,Milano,2011,7,1315802
25-29 anni,Milano,2012,24,1333670
25-29 anni,Milano,2013,10,1251137
25-29 anni,Napoli,2004,12,1000449
25-29 anni,Napoli,2005,13,997810
25-29 anni,Napoli,2006,22,984242
25-29 anni,Napoli,2007,17,979690
25-29 anni,Napoli,2008,22,979690
25-29 anni,Napoli,2009,18,968484
25-29 anni,Napoli,2010,10,963300
25-29 anni,Napoli,2011,15,961257
25-29 anni,Napoli,2012,18,958156
25-29 anni,Napoli,2013,5,960079
25-29 anni,Palermo,2004,9,679730
25-29 anni,Palermo,2005,6,677504
25-29 anni,Palermo,2006,5,670820
25-29 anni,Palermo,2007,14,668686
25-29 anni,Palermo,2008,9,668686
25-29 anni,Palermo,2009,2,661752
25-29 anni,Palermo,2010,7,657757
25-29 anni,Palermo,2011,4,655979
25-29 anni,Palermo,2012,6,654998
25-29 anni,Palermo,2013,7,655908
25-29 anni,Roma,2004,36,2542003
25-29 anni,Roma,2005,41,2547938
25-29 anni,Roma,2006,39,2547677
25-29 anni,Roma,2007,43,2626640
25-29 anni,Roma,2008,34,2626640
25-29 anni,Roma,2009,28,2710932
25-29 anni,Roma,2010,34,2734071
25-29 anni,Roma,2011,22,2752636
25-29 anni,Roma,2012,44,2771584
25-29 anni,Roma,2013,22,2626553
25-29 anni,Torino,2004,23,867857
25-29 anni,Torino,2005,17,885056
25-29 anni,Torino,2006,14,900608
25-29 anni,Torino,2007,19,900588
25-29 anni,Torino,2008,9,900588
25-29 anni,Torino,2009,11,910283
25-29 anni,Torino,2010,10,909181
25-29 anni,Torino,2011,12,908550
25-29 anni,Torino,2012,26,906671
25-29 anni,Torino,2013,13,870702
30-44 anni,Bari,2004,24,314166
30-44 anni,Bari,2005,21,321312
30-44 anni,Bari,2006,34,326915
30-44 anni,Bari,2007,26,325983
30-44 anni,Bari,2008,33,325983
30-44 anni,Bari,2009,15,321771
30-44 anni,Bari,2010,12,320413
30-44 anni,Bari,2011,6,320312
30-44 anni,Bari,2012,24,319915
30-44 anni,Bari,2013,15,314311
30-44 anni,Firenze,2004,24,367259
30-44 anni,Firenze,2005,22,367659
30-44 anni,Firenze,2006,10,366901
30-44 anni,Firenze,2007,10,366433
30-44 anni,Firenze,2008,11,366433
30-44 anni,Firenze,2009,21,365873
30-44 anni,Firenze,2010,9,367280
30-44 anni,Firenze,2011,10,370091
30-44 anni,Firenze,2012,24,372075
30-44 anni,Firenze,2013,8,361679
30-44 anni,Milano,2004,58,1271898
30-44 anni,Milano,2005,56,1285669
30-44 anni,Milano,2006,73,1308735
30-44 anni,Milano,2007,66,1306086
30-44 anni,Milano,2008,58,1306086
30-44 anni,Milano,2009,46,1296958
30-44 anni,Milano,2010,38,1301600
30-44 anni,Milano,2011,26,1315802
30-44 anni,Milano,2012,66,1333670
30-44 anni,Milano,2013,25,1251137
30-44 anni,Napoli,2004,34,1000449
30-44 anni,Napoli,2005,30,997810
30-44 anni,Napoli,2006,31,984242
30-44 anni,Napoli,2007,23,979690
30-44 anni,Napoli,2008,29,979690
30-44 anni,Napoli,2009,16,968484
30-44 anni,Napoli,2010,22,963300
30-44 anni,Napoli,2011,19,961257
30-44 anni,Napoli,2012,52,958156
30-44 anni,Napoli,2013,23,960079
30-44 anni,Palermo,2004,18,679730
30-44 anni,Palermo,2005,11,677504
30-44 anni,Palermo,2006,24,670820
30-44 anni,Palermo,2007,14,668686
30-44 anni,Palermo,2008,18,668686
30-44 anni,Palermo,2009,15,661752
30-44 anni,Palermo,2010,16,657757
30-44 anni,Palermo,2011,18,655979
30-44 anni,Palermo,2012,12,654998
30-44 anni,Palermo,2013,9,655908
30-44 anni,Roma,2004,122,2542003
30-44 anni,Roma,2005,107,2547938
30-44 anni,Roma,2006,117,2547677
30-44 anni,Roma,2007,102,2626640
30-44 anni,Roma,2008,93,2626640
30-44 anni,Roma,2009,90,2710932
30-44 anni,Roma,2010,83,2734071
30-44 anni,Roma,2011,70,2752636
30-44 anni,Roma,2012,124,2771584
30-44 anni,Roma,2013,50,2626553
30-44 anni,Torino,2004,43,867857
30-44 anni,Torino,2005,32,885056
30-44 anni,Torino,2006,38,900608
30-44 anni,Torino,2007,48,900588
30-44 anni,Torino,2008,37,900588
30-44 anni,Torino,2009,28,910283
30-44 anni,Torino,2010,29,909181
30-44 anni,Torino,2011,24,908550
30-44 anni,Torino,2012,60,906671
30-44 anni,Torino,2013,21,870702
45-54 anni,Bari,2004,17,314166
45-54 anni,Bari,2005,20,321312
45-54 anni,Bari,2006,9,326915
45-54 anni,Bari,2007,12,325983
45-54 anni,Bari,2008,11,325983
45-54 anni,Bari,2009,6,321771
45-54 anni,Bari,2010,5,320413
45-54 anni,Bari,2011,7,320312
45-54 anni,Bari,2012,22,319915
45-54 anni,Bari,2013,7,314311
45-54 anni,Firenze,2004,7,367259
45-54 anni,Firenze,2005,9,367659
45-54 anni,Firenze,2006,6,366901
45-54 anni,Firenze,2007,10,366433
45-54 anni,Firenze,2008,6,366433
45-54 anni,Firenze,2009,6,365873
45-54 anni,Firenze,2010,13,367280
45-54 anni,Firenze,2011,11,370091
45-54 anni,Firenze,2012,14,372075
45-54 anni,Firenze,2013,8,361679
45-54 anni,Milano,2004,32,1271898
45-54 anni,Milano,2005,21,1285669
45-54 anni,Milano,2006,37,1308735
45-54 anni,Milano,2007,23,1306086
45-54 anni,Milano,2008,25,1306086
45-54 anni,Milano,2009,25,1296958
45-54 anni,Milano,2010,12,1301600
45-54 anni,Milano,2011,18,1315802
45-54 anni,Milano,2012,30,1333670
45-54 anni,Milano,2013,16,1251137
45-54 anni,Napoli,2004,7,1000449
45-54 anni,Napoli,2005,10,997810
45-54 anni,Napoli,2006,12,984242
45-54 anni,Napoli,2007,8,979690
45-54 anni,Napoli,2008,16,979690
45-54 anni,Napoli,2009,15,968484
45-54 anni,Napoli,2010,9,963300
45-54 anni,Napoli,2011,11,961257
45-54 anni,Napoli,2012,36,958156
45-54 anni,Napoli,2013,5,960079
45-54 anni,Palermo,2004,8,679730
45-54 anni,Palermo,2005,9,677504
45-54 anni,Palermo,2006,7,670820
45-54 anni,Palermo,2007,14,668686
45-54 anni,Palermo,2008,2,668686
45-54 anni,Palermo,2009,8,661752
45-54 anni,Palermo,2010,9,657757
45-54 anni,Palermo,2011,2,655979
45-54 anni,Palermo,2012,6,654998
45-54 anni,Palermo,2013,7,655908
45-54 anni,Roma,2004,46,2542003
45-54 anni,Roma,2005,41,2547938
45-54 anni,Roma,2006,40,2547677
45-54 anni,Roma,2007,33,2626640
45-54 anni,Roma,2008,36,2626640
45-54 anni,Roma,2009,43,2710932
45-54 anni,Roma,2010,39,2734071
45-54 anni,Roma,2011,40,2752636
45-54 anni,Roma,2012,52,2771584
45-54 anni,Roma,2013,28,2626553
45-54 anni,Torino,2004,22,867857
45-54 anni,Torino,2005,20,885056
45-54 anni,Torino,2006,10,900608
45-54 anni,Torino,2007,15,900588
45-54 anni,Torino,2008,13,900588
45-54 anni,Torino,2009,11,910283
45-54 anni,Torino,2010,13,909181
45-54 anni,Torino,2011,14,908550
45-54 anni,Torino,2012,40,906671
45-54 anni,Torino,2013,13,870702
55-59 anni,Bari,2004,9,314166
55-59 anni,Bari,2005,10,321312
55-59 anni,Bari,2006,11,326915
55-59 anni,Bari,2007,4,325983
55-59 anni,Bari,2008,4,325983
55-59 anni,Bari,2009,4,321771
55-59 anni,Bari,2010,4,320413
55-59 anni,Bari,2011,9,320312
55-59 anni,Bari,2012,4,319915
55-59 anni,Bari,2013,6,314311
55-59 anni,Firenze,2004,6,367259
55-59 anni,Firenze,2005,2,367659
55-59 anni,Firenze,2006,5,366901
55-59 anni,Firenze,2007,1,366433
55-59 anni,Firenze,2008,5,366433
55-59 anni,Firenze,2009,1,365873
55-59 anni,Firenze,2010,3,367280
55-59 anni,Firenze,2011,5,370091
55-59 anni,Firenze,2012,12,372075
55-59 anni,Firenze,2013,4,361679
55-59 anni,Milano,2004,12,1271898
55-59 anni,Milano,2005,11,1285669
55-59 anni,Milano,2006,18,1308735
55-59 anni,Milano,2007,11,1306086
55-59 anni,Milano,2008,5,1306086
55-59 anni,Milano,2009,14,1296958
55-59 anni,Milano,2010,8,1301600
55-59 anni,Milano,2011,3,1315802
55-59 anni,Milano,2012,10,1333670
55-59 anni,Milano,2013,3,1251137
55-59 anni,Napoli,2004,6,1000449
55-59 anni,Napoli,2005,3,997810
55-59 anni,Napoli,2006,8,984242
55-59 anni,Napoli,2007,5,979690
55-59 anni,Napoli,2008,6,979690
55-59 anni,Napoli,2009,9,968484
55-59 anni,Napoli,2010,5,963300
55-59 anni,Napoli,2011,3,961257
55-59 anni,Napoli,2012,14,958156
55-59 anni,Napoli,2013,7,960079
55-59 anni,Palermo,2004,1,679730
55-59 anni,Palermo,2005,5,677504
55-59 anni,Palermo,2006,2,670820
55-59 anni,Palermo,2007,3,668686
55-59 anni,Palermo,2008,1,668686
55-59 anni,Palermo,2009,6,661752
55-59 anni,Palermo,2010,4,657757
55-59 anni,Palermo,2011,4,655979
55-59 anni,Palermo,2012,2,654998
55-59 anni,Palermo,2013,3,655908
55-59 anni,Roma,2004,24,2542003
55-59 anni,Roma,2005,11,2547938
55-59 anni,Roma,2006,15,2547677
55-59 anni,Roma,2007,14,2626640
55-59 anni,Roma,2008,14,2626640
55-59 anni,Roma,2009,14,2710932
55-59 anni,Roma,2010,15,2734071
55-59 anni,Roma,2011,12,2752636
55-59 anni,Roma,2012,24,2771584
55-59 anni,Roma,2013,13,2626553
55-59 anni,Torino,2004,7,867857
55-59 anni,Torino,2005,9,885056
55-59 anni,Torino,2006,1,900608
55-59 anni,Torino,2007,5,900588
55-59 anni,Torino,2008,6,900588
55-59 anni,Torino,2009,9,910283
55-59 anni,Torino,2010,5,909181
55-59 anni,Torino,2011,11,908550
55-59 anni,Torino,2012,12,906671
55-59 anni,Torino,2013,12,870702
6-9 anni,Bari,2004,1,314166
6-9 anni,Bari,2006,1,326915
6-9 anni,Bari,2008,1,325983
6-9 anni,Firenze,2005,1,367659
6-9 anni,Firenze,2008,1,366433
6-9 anni,Milano,2004,3,1271898
6-9 anni,Milano,2007,1,1306086
6-9 anni,Milano,2008,1,1306086
6-9 anni,Milano,2013,1,1251137
6-9 anni,Napoli,2004,1,1000449
6-9 anni,Napoli,2006,3,984242
6-9 anni,Napoli,2007,1,979690
6-9 anni,Napoli,2012,2,958156
6-9 anni,Palermo,2004,1,679730
6-9 anni,Palermo,2008,1,668686
6-9 anni,Palermo,2009,1,661752
6-9 anni,Palermo,2011,1,655979
6-9 anni,Roma,2004,2,2542003
6-9 anni,Roma,2007,1,2626640
6-9 anni,Roma,2008,1,2626640
6-9 anni,Roma,2012,2,2771584
6-9 anni,Torino,2006,3,900608
6-9 anni,Torino,2011,1,908550
6-9 anni,Torino,2012,2,906671
6-9 anni,Torino,2013,1,870702
60-64 anni,Bari,2004,8,314166
60-64 anni,Bari,2005,3,321312
60-64 anni,Bari,2006,10,326915
60-64 anni,Bari,2007,10,325983
60-64 anni,Bari,2008,6,325983
60-64 anni,Bari,2009,5,321771
60-64 anni,Bari,2010,2,320413
60-64 anni,Bari,2011,3,320312
60-64 anni,Bari,2012,8,319915
60-64 anni,Bari,2013,2,314311
60-64 anni,Firenze,2004,2,367259
60-64 anni,Firenze,2005,2,367659
60-64 anni,Firenze,2006,5,366901
60-64 anni,Firenze,2007,8,366433
60-64 anni,Firenze,2008,1,366433
60-64 anni,Firenze,2009,5,365873
60-64 anni,Firenze,2010,5,367280
60-64 anni,Firenze,2011,6,370091
60-64 anni,Firenze,2012,4,372075
60-64 anni,Firenze,2013,4,361679
60-64 anni,Milano,2004,10,1271898
60-64 anni,Milano,2005,16,1285669
60-64 anni,Milano,2006,15,1308735
60-64 anni,Milano,2007,9,1306086
60-64 anni,Milano,2008,14,1306086
60-64 anni,Milano,2009,9,1296958
60-64 anni,Milano,2010,8,1301600
60-64 anni,Milano,2011,3,1315802
60-64 anni,Milano,2012,12,1333670
60-64 anni,Milano,2013,5,1251137
60-64 anni,Napoli,2004,11,1000449
60-64 anni,Napoli,2005,3,997810
60-64 anni,Napoli,2006,4,984242
60-64 anni,Napoli,2007,5,979690
60-64 anni,Napoli,2008,3,979690
60-64 anni,Napoli,2009,7,968484
60-64 anni,Napoli,2010,3,963300
60-64 anni,Napoli,2011,7,961257
60-64 anni,Napoli,2012,6,958156
60-64 anni,Napoli,2013,1,960079
60-64 anni,Palermo,2004,2,679730
60-64 anni,Palermo,2005,4,677504
60-64 anni,Palermo,2006,4,670820
60-64 anni,Palermo,2007,3,668686
60-64 anni,Palermo,2008,3,668686
60-64 anni,Palermo,2009,4,661752
60-64 anni,Palermo,2010,2,657757
60-64 anni,Palermo,2011,4,655979
60-64 anni,Palermo,2012,10,654998
60-64 anni,Palermo,2013,1,655908
60-64 anni,Roma,2004,23,2542003
60-64 anni,Roma,2005,13,2547938
60-64 anni,Roma,2006,18,2547677
60-64 anni,Roma,2007,13,2626640
60-64 anni,Roma,2008,11,2626640
60-64 anni,Roma,2009,12,2710932
60-64 anni,Roma,2010,5,2734071
60-64 anni,Roma,2011,18,2752636
60-64 anni,Roma,2012,20,2771584
60-64 anni,Roma,2013,13,2626553
60-64 anni,Torino,2004,10,867857
60-64 anni,Torino,2005,13,885056
60-64 anni,Torino,2006,5,900608
60-64 anni,Torino,2007,9,900588
60-64 anni,Torino,2008,4,900588
60-64 anni,Torino,2009,7,910283
60-64 anni,Torino,2010,3,909181
60-64 anni,Torino,2011,6,908550
60-64 anni,Torino,2012,14,906671
60-64 anni,Torino,2013,8,870702
65 anni e più,Bari,2004,19,314166
65 anni e più,Bari,2005,25,321312
65 anni e più,Bari,2006,28,326915
65 anni e più,Bari,2007,24,325983
65 anni e più,Bari,2008,21,325983
65 anni e più,Bari,2009,24,321771
65 anni e più,Bari,2010,11,320413
65 anni e più,Bari,2011,18,320312
65 anni e più,Bari,2012,30,319915
65 anni e più,Bari,2013,19,314311
65 anni e più,Firenze,2004,20,367259
65 anni e più,Firenze,2005,26,367659
65 anni e più,Firenze,2006,24,366901
65 anni e più,Firenze,2007,23,366433
65 anni e più,Firenze,2008,14,366433
65 anni e più,Firenze,2009,20,365873
65 anni e più,Firenze,2010,23,367280
65 anni e più,Firenze,2011,21,370091
65 anni e più,Firenze,2012,38,372075
65 anni e più,Firenze,2013,15,361679
65 anni e più,Milano,2004,52,1271898
65 anni e più,Milano,2005,56,1285669
65 anni e più,Milano,2006,54,1308735
65 anni e più,Milano,2007,59,1306086
65 anni e più,Milano,2008,42,1306086
65 anni e più,Milano,2009,36,1296958
65 anni e più,Milano,2010,35,1301600
65 anni e più,Milano,2011,26,1315802
65 anni e più,Milano,2012,80,1333670
65 anni e più,Milano,2013,36,1251137
65 anni e più,Napoli,2004,30,1000449
65 anni e più,Napoli,2005,25,997810
65 anni e più,Napoli,2006,13,984242
65 anni e più,Napoli,2007,14,979690
65 anni e più,Napoli,2008,13,979690
65 anni e più,Napoli,2009,29,968484
65 anni e più,Napoli,2010,16,963300
65 anni e più,Napoli,2011,23,961257
65 anni e più,Napoli,2012,46,958156
65 anni e più,Napoli,2013,24,960079
65 anni e più,Palermo,2004,15,679730
65 anni e più,Palermo,2005,10,677504
65 anni e più,Palermo,2006,10,670820
65 anni e più,Palermo,2007,18,668686
65 anni e più,Palermo,2008,10,668686
65 anni e più,Palermo,2009,21,661752
65 anni e più,Palermo,2010,16,657757
65 anni e più,Palermo,2011,17,655979
65 anni e più,Palermo,2012,20,654998
65 anni e più,Palermo,2013,16,655908
65 anni e più,Roma,2004,84,2542003
65 anni e più,Roma,2005,64,2547938
65 anni e più,Roma,2006,65,2547677
65 anni e più,Roma,2007,43,2626640
65 anni e più,Roma,2008,69,2626640
65 anni e più,Roma,2009,60,2710932
65 anni e più,Roma,2010,67,2734071
65 anni e più,Roma,2011,51,2752636
65 anni e più,Roma,2012,110,2771584
65 anni e più,Roma,2013,71,2626553
65 anni e più,Torino,2004,50,867857
65 anni e più,Torino,2005,50,885056
65 anni e più,Torino,2006,37,900608
65 anni e più,Torino,2007,36,900588
65 anni e più,Torino,2008,27,900588
65 anni e più,Torino,2009,38,910283
65 anni e più,Torino,2010,45,909181
65 anni e più,Torino,2011,37,908550
65 anni e più,Torino,2012,74,906671
65 anni e più,Torino,2013,31,870702
fino a 5 anni,Bari,2004,3,314166
fino a 5 anni,Bari,2005,1,321312
fino a 5 anni,Bari,2006,2,326915
fino a 5 anni,Bari,2007,1,325983
fino a 5 anni,Bari,2009,1,321771
fino a 5 anni,Bari,2010,1,320413
fino a 5 anni,Firenze,2005,1,367659
fino a 5 anni,Firenze,2009,1,365873
fino a 5 anni,Milano,2004,2,1271898
fino a 5 anni,Milano,2009,1,1296958
fino a 5 anni,Milano,2011,1,1315802
fino a 5 anni,Milano,2013,2,1251137
fino a 5 anni,Napoli,2004,1,1000449
fino a 5 anni,Napoli,2005,1,997810
